,Name,Link,Downloaded
0,Marbury v. Madison,https://api.case.law/v1/cases/12121622/,True
1,McCulloch v. Maryland,https://api.case.law/v1/cases/3558942/,True
2,Korematsu v. United States,https://api.case.law/v1/cases/366803/,True
3,Brown v. Board of Education,https://api.case.law/v1/cases/5368572/,True
